test:acc:0.6385387318687864,loss:0.9816814064979553
index:0acc:0.5552367835374589,loss:1.03743577003479
index:100acc:0.6485474181808357,loss:0.9490219950675964
test:acc:0.6485474181808357,loss:0.9490219950675964
index:0acc:0.5716456632249904,loss:0.9906376600265503
index:100acc:0.6584379286349541,loss:0.9172751307487488
test:acc:0.6584379286349541,loss:0.9172751307487488
index:0acc:0.5920350129890076,loss:0.943801760673523
index:100acc:0.6667484885554977,loss:0.892504870891571
test:acc:0.6667484885554977,loss:0.892504870891571
index:0acc:0.6059644083069055,loss:0.9006922245025635
index:100acc:0.6704385418750188,loss:0.893258810043335
test:acc:0.6704385418750188,loss:0.893258810043335
index:0acc:0.5962039979718278,loss:0.9057600498199463
index:100acc:0.6768922263995713,loss:0.8655674457550049
test:acc:0.6768922263995713,loss:0.8655674457550049
index:0acc:0.607459092562797,loss:0.8627123832702637
index:100acc:0.6826244611522297,loss:0.8459811806678772
test:acc:0.6826244611522297,loss:0.8459811806678772
index:0acc:0.6099206827953872,loss:0.8482095003128052
index:100acc:0.6834706826894699,loss:0.8540952205657959
test:acc:0.6834706826894699,loss:0.8540952205657959
index:0acc:0.6056716876927367,loss:0.8590900301933289
index:0acc:0.19672628069111853,loss:9.746633529663086
index:100acc:0.5366078188108075,loss:1.9227955341339111
test:acc:0.5366078188108075,loss:1.9227955341339111
index:0acc:0.5164957445680526,loss:1.3138699531555176
index:100acc:0.6033801999198952,loss:1.099130630493164
test:acc:0.6033801999198952,loss:1.099130630493164
index:0acc:0.5385389742203611,loss:1.1759670972824097
index:100acc:0.612288242794099,loss:1.0539945363998413
test:acc:0.612288242794099,loss:1.0539945363998413
index:0acc:0.5237677039535554,loss:1.088759183883667
index:100acc:0.6196430960890986,loss:1.0541778802871704
test:acc:0.6196430960890986,loss:1.0541778802871704
index:0acc:0.5354535937534134,loss:1.1048126220703125
